mode,robot,label,prediction,count
normal,ALL,Yes,Yes,972
normal,ALL,Yes,No,2
normal,ALL,No,Yes,319
normal,ALL,No,No,307
normal,CR5,Yes,Yes,244
normal,CR5,No,Yes,75
normal,CR5,No,No,81
normal,FR5,Yes,Yes,260
normal,FR5,Yes,No,2
normal,FR5,No,Yes,63
normal,FR5,No,No,75
normal,PANDA,Yes,Yes,238
normal,PANDA,No,Yes,79
normal,PANDA,No,No,83
normal,UR5,Yes,Yes,230
normal,UR5,No,Yes,102
normal,UR5,No,No,68
black,ALL,Yes,Yes,973
black,ALL,Yes,No,1
black,ALL,No,Yes,360
black,ALL,No,No,266
black,CR5,Yes,Yes,244
black,CR5,No,Yes,92
black,CR5,No,No,64
black,FR5,Yes,Yes,261
black,FR5,Yes,No,1
black,FR5,No,Yes,66
black,FR5,No,No,72
black,PANDA,Yes,Yes,238
black,PANDA,No,Yes,89
black,PANDA,No,No,73
black,UR5,Yes,Yes,230
black,UR5,No,Yes,113
black,UR5,No,No,57
mismatch,ALL,Yes,Yes,971
mismatch,ALL,Yes,No,3
mismatch,ALL,No,Yes,327
mismatch,ALL,No,No,299
mismatch,CR5,Yes,Yes,244
mismatch,CR5,No,Yes,80
mismatch,CR5,No,No,76
mismatch,FR5,Yes,Yes,260
mismatch,FR5,Yes,No,2
mismatch,FR5,No,Yes,63
mismatch,FR5,No,No,75
mismatch,PANDA,Yes,Yes,237
mismatch,PANDA,Yes,No,1
mismatch,PANDA,No,Yes,79
mismatch,PANDA,No,No,83
mismatch,UR5,Yes,Yes,230
mismatch,UR5,No,Yes,105
mismatch,UR5,No,No,65
