robot,object,errors,total,error_rate
CR5,food pear,4,4,1.0
PANDA,food strawberry,4,4,1.0
PANDA,utensil teacup blue,4,4,1.0
UR5,mini claw hammer,4,4,1.0
CR5,plate holder,2,2,1.0
CR5,soap,2,2,1.0
FR5,flat screwdriver,2,2,1.0
FR5,plastic pear,2,2,1.0
FR5,shampoo,2,2,1.0
PANDA,lipton tea,2,2,1.0
PANDA,pen container,2,2,1.0
PANDA,utensil bowl blue,2,2,1.0
PANDA,utensil knife blue,2,2,1.0
UR5,food bread,2,2,1.0
UR5,plastic orange,2,2,1.0
UR5,medium clamp,5,6,0.8333
FR5,soap dish,6,8,0.75
CR5,phillips screwdriver,3,4,0.75
FR5,scissors,3,4,0.75
UR5,conditioner,3,4,0.75
CR5,utensil knife blue,4,6,0.6667
UR5,extra large clamp,4,6,0.6667
UR5,toothpaste,4,6,0.6667
UR5,potato chip,6,10,0.6
UR5,utensil nerf bowl,6,10,0.6
UR5,plastic banana,7,12,0.5833
PANDA,potato chip,5,10,0.5
FR5,potato chip,4,8,0.5
PANDA,poker,3,6,0.5
UR5,food orange,3,6,0.5
CR5,blue moon,2,4,0.5
CR5,flat screwdriver,2,4,0.5
CR5,knife,2,4,0.5
CR5,utensil dish soup blue,2,4,0.5
CR5,utensil glass blue,2,4,0.5
CR5,utensil nerf bowl,2,4,0.5
FR5,cleanser,2,4,0.5
PANDA,correction fluid,2,4,0.5
PANDA,doraemon plate,2,4,0.5
PANDA,food lemon,2,4,0.5
PANDA,fork,2,4,0.5
PANDA,furniture chair,2,4,0.5
PANDA,orion pie,2,4,0.5
PANDA,plastic banana,2,4,0.5
PANDA,plate holder,2,4,0.5
PANDA,remote controller,2,4,0.5
PANDA,repellent,2,4,0.5
PANDA,sugar box,2,4,0.5
UR5,blue cup,2,4,0.5
UR5,food strawberry,2,4,0.5
UR5,small marker,2,4,0.5
UR5,utensil shaker blue,2,4,0.5
FR5,mug,1,2,0.5
FR5,repellent,1,2,0.5
FR5,two color hammer,1,2,0.5
PANDA,food banana,1,2,0.5
PANDA,plastic plum,1,2,0.5
UR5,gelatin box,1,2,0.5
UR5,soap,1,2,0.5
UR5,utensil mug blue,1,2,0.5
UR5,yellow cup,1,2,0.5
